Type,SKU,Name,Description,Regular price,Categories,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
simple,103108,"Juego de dados mm y std con matraca, cuadro 1/4"", TRUPER","Juego de dados mm y std con matraca, cuadro 1/4"", TRUPER",547.41,FERRETERÍA > Manuales,https://www.truper.com/media/import/imagenes/JD-1-4X21MP.jpg,,,,,
simple,1031545,Cemenquin 5 kg,CEMENQUIN 5 KG,,FERRETERÍA > Hidráulico,"https://m.media-amazon.com/images/I/71+RvRp9CML._AC_UF894,1000_QL80_.jpg",,,,,
simple,103258,"Sierra sable, 20V, 1 batería 2Ah, TRUPER PRO","Sierra sable, 20V, 1 batería 2Ah, TRUPER PRO",2370.69,FERRETERÍA > Accesorios,"https://www.truper.com/media/import/imagenes/SISI-20A.jpg, https://www.truper.com/media/import/imagenes/SISI-20A+EIND1.jpg, https://www.truper.com/media/import/imagenes/SISI-20A+EM1.jpg, https://www.truper.com/media/import/imagenes/SISI-20A+E1.jpg, https://www.truper.com/media/import/imagenes/SISI-20A+FC1.jpg",,,,,
simple,103351,"Pinza 6"" pela cables, 20 a 10 AWG, TRUPER","Pinza 6"" pela cables, 20 a 10 AWG, TRUPER",119.83,MATERIAL ELÉCTRICO > Cableado,"https://www.truper.com/media/import/imagenes/PE-CA-61.jpg, https://www.truper.com/media/import/imagenes/PE-CA-61+E1.jpg, https://www.truper.com/media/import/imagenes/PE-CA-61+FC1.jpg, https://www.truper.com/media/import/imagenes/PE-CA-61+FC2.jpg",,,,,
simple,10338,"Escalera de tijera tipo ll 8 peldaños y bandeja, TRUPER","Escalera de tijera tipo ll 8 peldaños y bandeja, TRUPER",3450.0,FERRETERÍA > Manuales,"https://www.truper.com/media/import/imagenes/EST-28.jpg, https://www.truper.com/media/import/imagenes/EST-28+FC1.jpg, https://www.truper.com/media/import/imagenes/EST-28+FC2.jpg",,,,,
simple,103392,"Combo rotomartillo/dest + dest/impacto, 20V, TRUPER PRO","Combo rotomartillo/dest + dest/impacto, 20V, TRUPER PRO",4267.24,FERRETERÍA > Eléctricas,"https://www.truper.com/media/import/imagenes/COMBO-20A2.jpg, https://www.truper.com/media/import/imagenes/COMBO-20A2+EIND1.jpg, https://www.truper.com/media/import/imagenes/COMBO-20A2+EM1.jpg, https://www.truper.com/media/import/imagenes/COMBO-20A2+E1.jpg",,,,,
simple,10356494,Contacto aux frontal bcxmfc1*,CONTACTO AUX FRONTAL BCXMFC1*,0.0,MATERIAL ELÉCTRICO > Instalación,"https://m.media-amazon.com/images/I/61W8GZ+VxCL._AC_UF894,1000_QL80_.jpg",,,,,
simple,103714,"Tijera 10"" multiusos, de acero inoxidable, EXPERT","Tijera 10"" multiusos, de acero inoxidable, EXPERT",228.45,FERRETERÍA > Manuales,"https://www.truper.com/media/import/imagenes/TIMU-10X.jpg, https://www.truper.com/media/import/imagenes/TIMU-10X+EI1.jpg, https://www.truper.com/media/import/imagenes/TIMU-10X+EM1.jpg, https://www.truper.com/media/import/imagenes/TIMU-10X+E1.jpg, https://www.truper.com/media/import/imagenes/TIMU-10X+FC1.jpg, https://www.truper.com/media/import/imagenes/TIMU-10X+FC2.jpg",,,,,
simple,10381,"Bolsa con 10 empaques de PVC antifuga para manguera, TRUPER","Bolsa con 10 empaques de PVC antifuga para manguera, TRUPER",11.64,FERRETERÍA > Hidráulico,"https://www.truper.com/media/import/imagenes/EMP-MA10.jpg, https://www.truper.com/media/import/imagenes/EMP-MA10+EI1.jpg, https://www.truper.com/media/import/imagenes/EMP-MA10+EIND1.jpg, https://www.truper.com/media/import/imagenes/EMP-MA10+EM1.jpg, https://www.truper.com/media/import/imagenes/EMP-MA10+E1.jpg",,,,,
simple,10404,"Multímetro para mantenimiento industrial con gancho, TRUPER","Multímetro para mantenimiento industrial con gancho, TRUPER",556.03,FERRETERÍA > Medición y trazo,"https://www.truper.com/media/import/imagenes/MUT-202.jpg, https://www.truper.com/media/import/imagenes/MUT-202+D1.jpg, https://www.truper.com/media/import/imagenes/MUT-202+D3.jpg, https://www.truper.com/media/import/imagenes/MUT-202+EI1.jpg, https://www.truper.com/media/import/imagenes/MUT-202+EIND1.jpg, https://www.truper.com/media/import/imagenes/MUT-202+EM1.jpg, https://www.truper.com/media/import/imagenes/MUT-202+E1.jpg, https://www.truper.com/media/import/imagenes/MUT-202+FC1.jpg, https://www.truper.com/media/import/imagenes/MUT-202+FC2.jpg",,,,,
simple,10410274,Botonera y señalizacion rojo,BOTONERA Y SEÑALIZACION ROJO,,MATERIAL ELÉCTRICO > Instalación,"https://m.media-amazon.com/images/I/71fE-5EGHRL._AC_UF894,1000_QL80_.jpg",,,,,
simple,10452213,Reele sobrecarga 2.8-4A*,REELE SOBRECARGA 2.8-4A*,0.0,MATERIAL ELÉCTRICO > Control y protección,"https://m.media-amazon.com/images/I/71fE-5EGHRL._AC_UF894,1000_QL80_.jpg",,,,,
simple,10452382,Reele sobrecarga 22-32A*,REELE SOBRECARGA 22-32A*,0.0,MATERIAL ELÉCTRICO > Control y protección,"https://m.media-amazon.com/images/I/71fE-5EGHRL._AC_UF894,1000_QL80_.jpg",,,,,
simple,10459053,Contacto aux bcxmr11*,CONTACTO AUX BCXMR11*,0.0,MATERIAL ELÉCTRICO > Instalación,"https://m.media-amazon.com/images/I/61W8GZ+VxCL._AC_UF894,1000_QL80_.jpg",,,,,
