======================================================================
REPORTE COMPARACIÓN DE SKUs
Lista oficial: Lista de precios de venta-categoria.xls  (2293 SKUs)
CSV final    : woocommerce_FINAL.csv  (2477 SKUs)
======================================================================

COINCIDENCIAS: 2292 SKUs estan en ambos archivos

EN LISTA PERO NO EN CSV (1 productos):
   Estos productos existen en la lista oficial pero faltan en el CSV final:
   SKU                  Nombre en lista
   -------------------- ----------------------------------------
   Se imprimieron 2292 Productos 

EN CSV PERO NO EN LISTA (185 productos):
   Estos SKUs están en el CSV pero NO aparecen en la lista oficial:
   (pueden ser variaciones -BASE, o productos eliminados)
   SKU                       Type         Nombre en CSV
   ------------------------- ------------ -----------------------------------
   MUF0001-BASE              variable     Mufa
   PCA38-BASE                variable     Punta de Caja de Poder con Imán en Pulga
   PERR0005-BASE             variable     Perro Tipo Aleman
   PIJA0011-BASE             variable     Pija Gota de Agua 8 X
   PIPB0037-BASE             variable     Pija P. Broca Estrella Cab Red 8 X
   POAN0001-BASE             variable     Poliducto Anillada con guia
   POLI0001-BASE             variable     Poliducto Naranja
   PROF0038-BASE             variable     Broca de Alta Velocidad
   QO115-BASE                variable     Interruptor Qo 1x
   QO2100-BASE               variable     Interruptor Qo 2x
   QO24L70F-BASE             variable     Centro de Carga 2 Circuitos Empotrable
   QO24L70S-BASE             variable     Centro de Carga 2 Circuitos Sobreponer
   QO3100-BASE               variable     Interruptor Qo 3x
   RAWE0002-BASE             variable     Tapa Aluminio Contacto Tr-0414 2t
   REDU0001-BASE             variable     Reducción Aluminio 1/2
   REDU0004-BASE             variable     Reducción Aluminio 1
   SF058-BASE                variable     Kit Rondana Spud
   SIME0006-BASE             variable     Interruptor de Caja Moldeada 3 Polos 600
   TAQU0002-BASE             variable     Taquete Expansor Z
   TAQU0028-BASE             variable     Taquete Arpon Aa X 2 3/4
   TAQU0033-BASE             variable     Taquete Arpon Aa X 3 3/4
   TAQU0072-BASE             variable     Taquete Garra Ag
   TAQU0084-BASE             variable     Taquete Mariposa
   TGCR0001-BASE             variable     Tubo Galvanizado con rosca y Cople
   TGSR0001-BASE             variable     Tubo Galvanizado sin Rosca
   TOBI0001-BASE             variable     Tope Caon Bimetalico Cal
   TOBR0002-BASE             variable     Tornillo Bronce Al Silicio X 1
   TOCC0007-BASE             variable     Tope Caon Corto Cal.
   TOCL0007-BASE             variable     Tope Caon Largo Cal
   TOHE0001-BASE             variable     Tornillo Cab Hexa X 3/4"
   TOHE0002-BASE             variable     Tornillo Cab Hexa X 1"
   TOHE0021-BASE             variable     Tornillo Cab Hexa X 2"
   TPVC0001-BASE             variable     Tubo PVC T. Pesado
   TUBR0006-BASE             variable     Tuerca Bronce Al Silicio
   TUFL0014-BASE             variable     Tubo Fluorescente 6500k T5
   TUHE0001-BASE             variable     Tuerca Hexagonal
   TULI0002-BASE             variable     Tubo Licutite
   TURE0001-BASE             variable     Tuerca Resorte
   TUZA0001-BASE             variable     Tubo Zapa
   VARO0001-BASE             variable     Varilla Roscada X 3mts
   VARO0008-BASE             variable     Varilla Roscada X 1mts
   YD360B-BASE               variable     Empotrador Dirigible Mr 16
   ZAAM0001-BASE             variable     Zapata de Anillo Calibre 12 (Base)
   ZABI0001-BASE             variable     Zapata Bimetálica 1 Barreno Calibre -3/8
   ZABI0004-BASE             variable     Zapata Bimetálica 2 Barrenos Calibre -1/
   ZACC0001-BASE             variable     Zapata Ponchable Cola Corta 1 Barreno Ca
   ZACC0004-BASE             variable     Zapata Ponchable Cola Corta 1 Barreno Ca
   ZACC0007-BASE             variable     Zapata Ponchable Cola Corta 1 Barreno Ca
   ZACC0015-BASE             variable     Zapata Ponchable Cola Corta 1 Barreno Ca
   ZACL0003-BASE             variable     Zapata Ponchable Cola Larga 1 Barreno Ca
   ZACL0019-BASE             variable     Zapata Ponchable Cola Larga 1 Barreno Ca
   ZACL0062-BASE             variable     Zapata Ponchable Cola Larga 2 Barrenos C
   ZAME0001-BASE             variable     Zapata Mecánica de Bronce Calibre 4
   ZASA0007-BASE             variable     Terminal de Ojo sin Aislar Cola Corta (B
