SKU,Name,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s)
101259,"Casco de seguridad ventilado, ajuste de matraca, azul","Casco de seguridad ventilado, ajuste de matraca, azul",119.83,,"https://www.truper.com/media/import/imagenes/CAS-ZI.jpg, https://www.truper.com/media/import/imagenes/CAS-ZI+D1.jpg, https://www.truper.com/media/import/imagenes/CAS-ZI+D2.jpg, https://www.truper.com/media/import/imagenes/CAS-ZI+EI1.jpg, https://www.truper.com/media/import/imagenes/CAS-ZI+EIND1.jpg, https://www.truper.com/media/import/imagenes/CAS-ZI+E1.jpg, https://www.truper.com/media/import/imagenes/CAS-ZI+FC1.jpg",Marca,,Medida,
101398,Cautín 48 W profesional para electrónica con estación,Cautín 48 W profesional para electrónica con estación,659.48,,"https://www.truper.com/media/import/imagenes/CAU-48ES.jpg, https://www.truper.com/media/import/imagenes/CAU-48ES+D1.jpg, https://www.truper.com/media/import/imagenes/CAU-48ES+D2.jpg, https://www.truper.com/media/import/imagenes/CAU-48ES+E1.jpg, https://www.truper.com/media/import/imagenes/CAU-48ES+FC1.jpg",Marca,,Medida,
101449,Rollo 18 m de cinta antiderrapante ama/negra 50mm c/abrasivo,Rollo 18 m de cinta antiderrapante ama/negra 50mm c/abrasivo,443.97,,"https://www.truper.com/media/import/imagenes/CIA-218P.jpg, https://www.truper.com/media/import/imagenes/CIA-218P+D1.jpg, https://www.truper.com/media/import/imagenes/CIA-218P+EI1.jpg, https://www.truper.com/media/import/imagenes/CIA-218P+EIND1.jpg, https://www.truper.com/media/import/imagenes/CIA-218P+EM1.jpg, https://www.truper.com/media/import/imagenes/CIA-218P+E1.jpg, https://www.truper.com/media/import/imagenes/CIA-218P+FC1.jpg",Marca,,Medida,
101552,"Broca escalonada titanio 9 escalones 1/4"" a 3/4"", EXPERT","Broca escalonada titanio 9 escalones 1/4"" a 3/4"", EXPERT",433.185,,"https://www.truper.com/media/import/imagenes/BES-9X.jpg, https://www.truper.com/media/import/imagenes/BES-9X+D1.jpg, https://www.truper.com/media/import/imagenes/BES-9X+EI1.jpg, https://www.truper.com/media/import/imagenes/BES-9X+EIND1.jpg, https://www.truper.com/media/import/imagenes/BES-9X+EM1.jpg, https://www.truper.com/media/import/imagenes/BES-9X+E1.jpg, https://www.truper.com/media/import/imagenes/BES-9X+FC1.jpg",Marca,,Medida,
101553,"Broca escalonada titanio 12 escalones 3/16"" a 7/8"", EXPERT","Broca escalonada titanio 12 escalones 3/16"" a 7/8"", EXPERT",590.52,,"https://www.truper.com/media/import/imagenes/BES-12X.jpg, https://www.truper.com/media/import/imagenes/BES-12X+D1.jpg, https://www.truper.com/media/import/imagenes/BES-12X+EI1.jpg, https://www.truper.com/media/import/imagenes/BES-12X+EIND1.jpg, https://www.truper.com/media/import/imagenes/BES-12X+EM1.jpg, https://www.truper.com/media/import/imagenes/BES-12X+E1.jpg, https://www.truper.com/media/import/imagenes/BES-12X+FC1.jpg",Marca,,Medida,
101678,"Juego de 12 puntas torx combinadas largo 2"", TRUPER EXPERT","Juego de 12 puntas torx combinadas largo 2"", TRUPER EXPERT",,,"https://www.truper.com/media/import/imagenes/P12-2T.jpg, https://www.truper.com/media/import/imagenes/P12-2T+D1.jpg, https://www.truper.com/media/import/imagenes/P12-2T+EI1.jpg, https://www.truper.com/media/import/imagenes/P12-2T+EIND1.jpg, https://www.truper.com/media/import/imagenes/P12-2T+EM1.jpg, https://www.truper.com/media/import/imagenes/P12-2T+E1.jpg, https://www.truper.com/media/import/imagenes/P12-2T+FC1.jpg",Marca,,Medida,
101683,"Rollo de 9 m x 2"" de cinta reflejante de PVC, TRUPER","Rollo de 9 m x 2"" de cinta reflejante de PVC, TRUPER",431.03,,"https://www.truper.com/media/import/imagenes/CIREF-9.jpg, https://www.truper.com/media/import/imagenes/CIREF-9+D1.jpg, https://www.truper.com/media/import/imagenes/CIREF-9+D2.jpg, https://www.truper.com/media/import/imagenes/CIREF-9+E1.jpg, https://www.truper.com/media/import/imagenes/CIREF-9+FC1.jpg",Marca,,Medida,
101734,"Banda de 4"" x 9 m con gancho plano para malacate, TRUPER","Banda de 4"" x 9 m con gancho plano para malacate, TRUPER",357.76,,"https://www.truper.com/media/import/imagenes/MAL-B3P.jpg, https://www.truper.com/media/import/imagenes/MAL-B3P+EI1.jpg, https://www.truper.com/media/import/imagenes/MAL-B3P+EIND1.jpg, https://www.truper.com/media/import/imagenes/MAL-B3P+EM1.jpg, https://www.truper.com/media/import/imagenes/MAL-B3P+E1.jpg",Marca,,Medida,
101827,"Broca para vidrio y azulejo 1/4"", TRUPER EXPERT","Broca para vidrio y azulejo 1/4"", TRUPER EXPERT",85.34,,https://www.truper.com/media/import/imagenes/BVI-1-4X.jpg,Marca,,Medida,
101931,"Pistola calafateadora para salchicha de 600 ml, TRUPER","Pistola calafateadora para salchicha de 600 ml, TRUPER",306.03,,"https://www.truper.com/media/import/imagenes/PICA-S.jpg, https://www.truper.com/media/import/imagenes/PICA-S+D1.jpg, https://www.truper.com/media/import/imagenes/PICA-S+FC1.jpg",Marca,,Medida,
1019637,TAPA ANILLO REDUCCION 4X2,TAPA ANILLO REDUCCION 4X2,38.775,,https://www.mirocom.com.mx/11333-large_default/placa-tipo-fs-ciega-de-sobreponer.jpg,Marca,,Medida,
102189,"BROCA PARA METAL HSS 13/64""","BROCA PARA METAL HSS 13/64""",27.59,,https://www.hecort.com/wp-content/uploads/2021/03/Broca-HSS.jpg,Marca,,Medida,
102190,"BROCA PARA METAL HSS 7/32""","BROCA PARA METAL HSS 7/32""",31.03,,https://www.hecort.com/wp-content/uploads/2021/03/Broca-HSS.jpg,Marca,,Medida,
