Marca/Grupo,SKU,Nombre,Precio,Categorias
GENERICO (ADHESIVOS),PEGA0001,PEGAMENTO EPOXICO TRANSPARENTE,161.64,
GENERICO (ADHESIVOS),CEME0002,PEGAMENTO PVC 1/2 LITRO,153.345,
GENERICO (ADHESIVOS),CEME0001,PEGAMENTO PVC 1/4  LITRO,105.75,
GENERICO (ADHESIVOS),CEME0003,PEGAMENTO PVC 1/8,117.615,
GENERICO (APAGADORES),ILV0005,APAGADOR DOBLE BRUSHED METAL NEGRO*,99.0,
GENERICO (APAGADORES),ILV0002,APAGADOR DOBLE POLICARBONATO METAL BLANCO*,83.25,
GENERICO (APAGADORES),ILV0004,APAGADOR SENCILLO BRUSHED METAL NEGRO,78.75,
GENERICO (APAGADORES),ILV0001,APAGADOR SENCILLO POLICARBONATO METAL BLANCO*,62.25,
GENERICO (APAGADORES),ILV0006,APAGADOR TRIPLE BRUSHED METAL NEGRO*,120.75,
GENERICO (APAGADORES),ILV0003,APAGADOR TRIPLE POLICARBONATO METAL BLANCO*,105.0,
GENERICO (BALASTROS),BALA0005,BAL ALE 2X32 SLI232-UNVPB SLIGHT,243.36,
GENERICO (BALASTROS),BALA0026,"BAL ELE 1-2 LAM T12 (20,34 ,40W) 127V ERO-240-SC",219.0,
GENERICO (BALASTROS),BALA0015,"BAL ELE 1-2 LAM T5 (14,21,28,35W) 127/277V725-U-228R1S",425.93,
GENERICO (BALASTROS),BALA0018,"BAL ELE 1-2 LAM T5 (14,21,28,35W) 127/277V725-U-254R1S",270.0,
GENERICO (BALASTROS),BALA0016,BAL ELE 1-2 LAM T5 54W 127/277V725-U-254-PHILLIPS,349.83,
GENERICO (BALASTROS),BALA0001,"BAL ELE 1-2 LAM T8 (17,25,28,30,32W) 127V EI8-232",193.62,
GENERICO (BALASTROS),BALA0002,BAL ELE 1-2 LAM T8 59W 127V 758-259- LEEJUN,228.15,
GENERICO (BALASTROS),BALA0025,BAL ELE 1-2X39W REEL239SC PHILLIPS,244.5,
GENERICO (BALASTROS),BALA0004,BAL ELE 2X39 SLI-239-120 SLIGHT,282.75,
GENERICO (BALASTROS),BALA0010,"BAL ELE 4 LAMP T8 (17,31,32 W) 127V758-432-SC",383.85,
GENERICO (BALASTROS),BALA0027,BAL MAG 2X75W T12 127V PHILLIPS,223.05,
GENERICO (BALASTROS),BALA0032,BALASTRO ADITIVO METALICO 1000W,0.0,
GENERICO (BALASTROS),BALA0031,BALASTRO VAPOR DE SODIO DE 250W,1308.63,
GENERICO (BOMBAS),LIFT506123,BOMBA SUMERGIBLE 1.5HP 230V,,
GENERICO (BROCAS),MAKI0015,"BROCA P/CONCRETO SDS MAX 1 1/8""X18""X22"" D-36669",2324.91,
GENERICO (BROCAS),102192,"BROCA PARA METAL HSS 1/4""",39.66,
GENERICO (BROCAS),102199,"BROCA PARA METAL HSS 11/32""",79.31,
GENERICO (BROCAS),102189,"BROCA PARA METAL HSS 13/64""",27.59,
GENERICO (BROCAS),102210,"BROCA PARA METAL HSS 3/8""",93.97,
GENERICO (BROCAS),102214,"BROCA PARA METAL HSS 7/16""",0.0,
GENERICO (BROCAS),102190,"BROCA PARA METAL HSS 7/32""",31.03,
GENERICO (BROCAS),102219,"BROCA PARA METAL HSS 9/16""",306.03,
GENERICO (CABLES ALUMINIO),CAAL0007,CABLE ALUMINIO FORRADO 600 V  CAL 1/0,58.13,
GENERICO (CABLES ALUMINIO),CAAL0008,CABLE ALUMINIO FORRADO 600 V  CAL 2/0,60.68,
GENERICO (CABLES ALUMINIO),CAAL0009,CABLE ALUMINIO FORRADO 600 V  CAL 3/0,79.98,
GENERICO (CABLES ALUMINIO),CAAL0012,CABLE ALUMINIO FORRADO 600 V  CAL 300,153.765,
GENERICO (CABLES ALUMINIO),CAAL0013,CABLE ALUMINIO FORRADO 600 V  CAL 350,147.39,
GENERICO (CABLES ALUMINIO),CAAL0005,CABLE ALUMINIO FORRADO 600 V  CAL 4,27.68,
GENERICO (CABLES ALUMINIO),CAAL0010,CABLE ALUMINIO FORRADO 600 V  CAL 4/0,99.06,
GENERICO (CABLES ALUMINIO),CAAL0004,CABLE ALUMINIO FORRADO 600 V  CAL 6,20.55,
GENERICO (CABLES THW),CCON0025,CABLE THW CAL 4/0 NEGRO,403.0758,
GENERICO (CABLES THW),CCON0014,CABLE THW-LS CAL 10 BLANCO,27.81,
GENERICO (CABLES THW),CCON0013,CABLE THW-LS CAL 10 NEGRO,27.81,
GENERICO (CABLES THW),CCON0015,CABLE THW-LS CAL 10 ROJO*,27.81,
GENERICO (CABLES THW),CCON0016,CABLE THW-LS CAL 10 VERDE*,27.81,
GENERICO (CABLES THW),CCON0010,CABLE THW-LS CAL 12 BLANCO*,17.55,
GENERICO (CABLES THW),CCON0009,CABLE THW-LS CAL 12 NEGRO*,17.55,
GENERICO (CABLES THW),CCON0011,CABLE THW-LS CAL 12 ROJO*,17.55,
GENERICO (CABLES THW),CCON0012,CABLE THW-LS CAL 12 VERDE*,17.55,
GENERICO (CABLES THW),CCON0006,CABLE THW-LS CAL 14 BLANCO*,10.22,
GENERICO (CABLES THW),CCON0005,CABLE THW-LS CAL 14 NEGRO*,10.22,
GENERICO (CABLES THW),CCON0007,CABLE THW-LS CAL 14 ROJO*,10.22,
GENERICO (CABLES THW),CCON0008,CABLE THW-LS CAL 14 VERDE*,10.22,
GENERICO (CABLES THW),CCON0026,CABLE THW-LS CAL 2 NEGRO,163.575,
GENERICO (CABLES THW),CCON0024,CABLE THW-LS CAL 4  NEGRO,95.745,
GENERICO (CABLES THW),CCON0023,CABLE THW-LS CAL 6 BLANCO,71.64,
GENERICO (CABLES THW),CCON0021,CABLE THW-LS CAL 6 NEGRO*,71.64,
GENERICO (CABLES THW),CCON0022,CABLE THW-LS CAL 6 VERDE,71.64,
GENERICO (CABLES THW),CCON0018,CABLE THW-LS CAL 8 BLANCO,36.68,
GENERICO (CABLES THW),CCON0017,CABLE THW-LS CAL 8 NEGRO,36.68,
GENERICO (CABLES THW),CCON0019,CABLE THW-LS CAL 8 ROJO*,36.68,
GENERICO (CABLES THW),CCON0020,CABLE THW-LS CAL 8 VERDE*,37.23,
GENERICO (CABLES USO RUDO),CCUR0004,CABLE USO RUDO 2X10,58.665,
GENERICO (CABLES USO RUDO),CCUR0018,CABLE USO RUDO 2X12,29.4,
GENERICO (CABLES USO RUDO),CCUR0017,CABLE USO RUDO 2X14,24.54,
GENERICO (CABLES USO RUDO),CCUR0023,CABLE USO RUDO 3X10,93.9,
GENERICO (CABLES USO RUDO),CCUR0022,CABLE USO RUDO 3X12,57.42,
GENERICO (CABLES USO RUDO),CCUR0024,CABLE USO RUDO 3X14,32.49,
GENERICO (CABLES USO RUDO),CCUR0021,CABLE USO RUDO 3X8,139.79,
GENERICO (CABLES USO RUDO),CCUR0032,CABLE USO RUDO 4X10,182.88,
GENERICO (CABLES USO RUDO),CCUR0031,CABLE USO RUDO 4X12,75.525,
GENERICO (CABLES USO RUDO),CCUR0030,CABLE USO RUDO 4X14,49.41,
GENERICO (CABLES USO RUDO),CCUR0033,CABLE USO RUDO 4X16,35.55,
GENERICO (CABLES USO RUDO),CCUR0034,CABLE USO RUDO 4X6,342.77,
GENERICO (CABLES),ARM0001,ALAMBRE  ARMOFLEX 2x14 + TIERRA(76.2m),78.92,
GENERICO (CABLES),MLED15050S,CABLE ALIM. CON CLAVIJA PARA MANGUYERA LED 5050SMD,277.5,
GENERICO (CABLES),CACU0001,CABLE COBRE DESNUDO CAL 1/0,208.26,
GENERICO (CABLES),CACU0006,CABLE COBRE DESNUDO CAL 12,12.21,
GENERICO (CABLES),CACU0005,CABLE COBRE DESNUDO CAL 3/0,,
GENERICO (CABLES),CACO0009,CABLE CONTROL /INST 3X12  600V,75.98,
GENERICO (CABLES),CACO0012,CABLE CONTROL /INST 4X10  600V,152.36,
GENERICO (CABLES),CACO0013,CABLE CONTROL /INST 4X12  600V,99.72,
GENERICO (CABLES),CACO0025,CABLE CONTROL /INST 5X14  600V,103.79,
GENERICO (CABLES),CADR0001,CABLE DE RETENIDA 5/16 ARGA,,
GENERICO (CABLES),CACU0004,CABLE DESNUDO CAL. 4/0,397.344,
GENERICO (CABLES),CACU0003,CABLE DESNUDO CALIBRE 10,34.5,
GENERICO (CABLES),CAFO0008,CABLE FOTOVOLTAICO CAL 10 1800VCD NEGRO,33.24,
GENERICO (CABLES),CNEUU008,CABLE NEUTRANEL AL AEREO (1+1) CAL 6,23.53,
GENERICO (CABLES),CNEU0006,CABLE NEUTRANEL AL AEREO (2+1) CAL 2,,
GENERICO (CABLES),CNEU0002,CABLE NEUTRANEL AL AEREO (2+1) CAL 6,,
GENERICO (CABLES),CNEU0016,CABLE NEUTRANEL AL AEREO (3+1) CAL 2,94.17,
GENERICO (CABLES),UTPPND98,CABLE UTP CATEGORIA 6A AZUL BOBINA 305MTS,51.66,
GENERICO (CABLES),CXLPDRS002,CABLE XLP DRS AL SUB (2+1) CAL 4,57.28,
GENERICO (CABLES),CXLPDRS000,CABLE XLP DRS AL SUB (2+1) CAL 6,31.42,
GENERICO (CABLES),CXLPDRS012,CABLE XLP DRS AL SUB (3+1) CAL 1/0,138.0,
GENERICO (CABLES),CXLPDRS015,CABLE XLP DRS AL SUB (3+1) CAL 3/0 1/0,213.06,
GENERICO (CABLES),CXLPDRS020,CABLE XLP DRS AL SUB (3+1) CAL 350 4/0,432.0,
GENERICO (CABLES),CXLPDRS010,CABLE XLP DRS AL SUB (3+1) CAL 4,79.35,
GENERICO (CABLES),CXLPDRS011,CABLE XLP DRS AL SUB (3+1) CAL 6,56.505,
GENERICO (CABLES),GRAP0001,GRAPA CURVA (CABLE USO RUDO 1/2),1.9159,
GENERICO (CABLES),TOOLS0001,PINZA PELA CABLE PONCHADORA HSD1,270.26,
GENERICO (CABLES),ZAME0006,ZAPATA MEC BR  3 CABLES CAL 400-600 MCM 4 BARRENOS Q3A34-4N,1695.885,
GENERICO (CAJAS ELECTRICAS),CAPV0001,CAJA CHALUPA PLASTICA BLANCA SOBRE PONER,18.015,
GENERICO (CAJAS ELECTRICAS),ORBI0001,"CAJA FS 3/4"" 2X4 3H ORBT 1B75-3*",141.65,
GENERICO (CAJAS ELECTRICAS),ORBI0010,"CAJA FS 3/4"" 4X4 3H ORBT 2B753*",207.3,
GENERICO (CAJAS ELECTRICAS),RACO0001,CAJA MET 2X4 KO 1/52 (11) PROFUNDA 1-7/8 RACO,38.88,
